Run Date: 10-apr-2014 
Semester: Fall 2014

 
Course	Title	Units	Lec/Sec	Days	Begin	End	Bldg/Room	Location	Instructor(s)
Aerospace Studies-ROTC	 	 	 	 	 	 	 	 	 	 
 	Creative Fire - Fire from the Depths and on High	 	A	MW	06:30PM	09:20PM	CFA 310	Pittsburgh, Pennsylvania	Burgess
60499	Studio Independent Study	5-10	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
60590	Internship	1-9	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
60599	Exchange Independent Study	10-36	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
60701	M.F.A. Academic Seminar	12.0	A	T	06:30PM	09:20PM	TBA	Pittsburgh, Pennsylvania	King
60703	M.F.A. Studio	12-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
60705	M.F.A. Project	36.0	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
60706	M.F.A. Contextual Practice	6.0	A	T	06:30PM	09:20PM	CFA 310	Pittsburgh, Pennsylvania	Rubin
60711	M.F.A. Thesis Writing Seminar	4.5	A	T	06:30PM	09:20PM	CFA 310	Pittsburgh, Pennsylvania	Eldridge
60750	Machining for Non-Machinists	4.5	A1	TBA			TBA	Pittsburgh, Pennsylvania	Hayhurst
60791	M.F.A. Integrative Seminar	12.0	A	R	06:30PM	09:20PM	CFA 310	Pittsburgh, Pennsylvania	Beck
BXA Intercollege Degree Programs	 	 	 	 	 	 	 	 	 	 
52190	BXA Freshman Interdisciplinary Seminar	9.0	A	F	11:30AM	01:20PM	CFA 303	Pittsburgh, Pennsylvania	Murray
52291	Building BXA: A Project Course	9.0	A	TBA			TBA	Pittsburgh, Pennsylvania	Hagan
52390	BXA Undergraduate Research Project	3-12	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Hagan, Murray
52400	BXA Capstone Project	9.0	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Hagan
52401	BXA Capstone Project I	9.0	A	TBA			TBA	Pittsburgh, Pennsylvania	Hagan
52590	BXA Internship	3-12	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Hagan, Murray
Biological Sciences	 	 	 	 	 	 	 	 	 	 
03050	Study Abroad	0.0	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
03101	Biological Sciences First Year Seminars	3-6	A1	TR	03:00PM	04:20PM	WEH 5316	Pittsburgh, Pennsylvania	Brasier
 	 	 	A2	TR	03:00PM	04:20PM	WEH 5316	Pittsburgh, Pennsylvania	Brasier
